year_of_elections,date_of_elections,has_won,manner_of_winning,name,party,birthday,age_on_elections,sex,city,lat,lng,province,region,island,birth_order,sibling_no,alma_mater,hi_educ_attain,last_college_attended,degree_obtained,last_job,no_of_govt_positions_served,served_in_gov't,years_of_service,is_married
1981,06/16/1981,0,,Alejo de los Santos de los Santos,Nacionalista Party,07/17/1911,69,1,Bustos,14.9578,120.9178,Bulacan,Region III,Luzon,Only Child,0,1,College,University of the Philippines,Education,Cabinet Member,3,1,11.6,1
1998,05/11/1998,0,,"Alfredo ""Fred"" Siojo Lim",Liberal Party,12/21/1929,68,1,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Only Child,0,6,Doctorate,University of the East,Business Administration,NBI Director,2,1,8.74,1
1957,11/12/1957,0,,Antonio Rivera Quirino Sr.,Liberal Party,01/20/1906,51,1,Vigan,17.5709,120.3873,Ilocos Sur,Region I,Luzon,Youngest Child,6,1,College,University of the Philippines,Law,Chairman,,0,,1
2010,05/10/2010,1,Majority votes,Benigno Simeon Cojuangco Aquino III,Liberal Party,02/08/1960,50,1,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Middle Child,3,1,College,Ateneo de Manila,Economics,Senator,4,1,12,0
1957,11/12/1957,1,Majority votes,Carlos Polistico Garcia,Nacionalista Party,11/04/1896,61,1,Talibon,10.1503,124.3275,Bohol,Region VII,Visayas,Middle Child,10,2,College,National University,Law,Vice President,5,1,26.26,1
1957,11/12/1957,0,,Claro M. Recto,Nationalist Citizens' Party,02/08/1890,67,1,Tiáong,13.9504,121.3146,Quezon,Region IV A,Luzon,Middle Child,4,3,Masters,Ateneo de Manila,Law,Senator,6,1,20.5,1
1961,11/14/1961,0,,Claro M. Recto,Nationalist Citizens' Party,02/08/1890,71,1,Tiáong,13.9504,121.3146,Quezon,Region IV A,Luzon,Middle Child,4,3,Masters,Ateneo de Manila,Law,Senator,6,1,23.39,1
1961,11/14/1961,1,Majority votes,Diosdado Pangan Macapagal Sr.,Liberal Party,09/28/1910,51,1,Lubao,14.9333,120.6000,Pampanga,Region III,Luzon,Middle Child,4,2,Doctorate,University of Sto. Tomas,Law,Vice President,2,1,12,1
1965,11/09/1965,0,,Diosdado Pangan Macapagal Sr.,Liberal Party,09/28/1910,55,1,Lubao,14.9333,120.6000,Pampanga,Region III,Luzon,Middle Child,4,2,Doctorate,University of Sto. Tomas,Law,Vice President,2,1,16,1
2004,05/10/2004,0,,Eduardo Cruz Villanueva,Bangon Pilipinas Party,10/06/1946,57,1,Bocaue,14.7900,120.9260,Bulacan,Region III,Luzon,Only Child,0,1,College,Polytechnic University of the Philippines,Commerce,Professor,,0,,1
2010,05/10/2010,0,,Eduardo Cruz Villanueva,Bangon Pilipinas Party,10/06/1946,63,1,Bocaue,14.7900,120.9260,Bulacan,Region III,Luzon,Only Child,0,1,College,Polytechnic University of the Philippines,Commerce,Professor,,0,,1
1992,05/11/1992,0,,Eduardo Murphy Cojuangco Jr.,Nationalist People's Coalition        ,06/10/1935,56,1,Paniqui,15.6667,120.5833,Tarlac,Region III,Luzon,Middle Child,5,2,College,"California Polytechnic State University, San Luis Obispo",,House of Representatives Member,2,1,4.74,1
1949,11/08/1949,1,Majority votes,Elpidio Rivera Quirino,Liberal Party,11/16/1890,58,1,Vigan,17.5709,120.3873,Ilocos Sur,Region I,Luzon,Middle Child,7,1,College,University of the Philippines,Law,Vice President,7,1,22.66,0
1953,11/10/1953,0,,Elpidio Rivera Quirino,Liberal Party,11/16/1890,62,1,Vigan,17.5709,120.3873,Ilocos Sur,Region I,Luzon,Middle Child,7,1,College,University of the Philippines,Law,Vice President,7,1,28.37,0
1899,01/23/1899,1,Proclamation,Emilio Aguinaldo y Famy,Independent,03/22/1869,29,1,Kawit,14.4368,120.8982,Cavite,Region IV A,Luzon,Middle Child,7,1,College,Colegio de San Juan de Letran,,Dictator,6,1,0.78,1
1935,09/16/1935,0,,Emilio Aguinaldo y Famy,National Socialist Party,03/22/1869,66,1,Kawit,14.4368,120.8982,Cavite,Region IV A,Luzon,Middle Child,7,1,College,Colegio de San Juan de Letran,,President,6,1,2.94,1
1998,05/11/1998,0,,Emilio Mario Renner Osmeña Jr,Probinsya Muna Development Initiative,09/11/1938,59,1,Cebu City,10.3157,123.8854,Cebu,Region VII,Visayas,Middle Child,2,1,College,University of San Carlos,Business Administration,Cabinet Member,2,1,8.41,1
2022,05/09/2022,0,,Emmanuel Dapidran Pacquiao Sr.,Progressive Movement for the Devolution of Initiatives,12/17/1978,43,1,Kibawe,7.5333,124.9833,Bukidnon,Region X,Mindanao,Middle Child,6,1,College,University of Makati,Political Science,Senator,2,1,11.87,1
2022,05/09/2022,0,,"Ernesto ""Ernie"" Corpuz Abella",Independent,02/11/1950,72,1,Davao City,7.1907,125.4553,Davao,Region XI,Mindanao,Only Child,0,3,Masters,Ateneo de Davao,Pre-med,Presidential Spokesperson,2,1,5.28,1
2022,05/09/2022,1,Landslide votes,"Ferdinand ""Bongbong"" Romualdez Marcos Jr.",Partido Federal ng Pilipinas,09/13/1957,64,1,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Middle Child,2,0,Secondary Education,,,Senator,4,1,27.02,1
1965,11/09/1965,1,Narrow votes,Ferdinand Emmanuel Edralin Marcos Sr.,Nacionalista Party,09/11/1917,48,1,Sarrat,18.0979,120.6213,Ilocos Norte,Region I,Luzon,Firstborn,2,1,College,University of the Philippines,Law,Senator,3,1,16,1
1969,11/09/1969,1,Landslide votes,Ferdinand Emmanuel Edralin Marcos Sr.,Nacionalista Party,09/11/1917,52,1,Sarrat,18.0979,120.6213,Ilocos Norte,Region I,Luzon,Firstborn,2,1,College,University of the Philippines,Law,President,4,1,19.79,1
1981,06/16/1981,1,Landslide votes,Ferdinand Emmanuel Edralin Marcos Sr.,Kilusang Bagong Lipunan,09/11/1917,63,1,Sarrat,18.0979,120.6213,Ilocos Norte,Region I,Luzon,Firstborn,2,1,College,University of the Philippines,Law,President,6,1,31.48,1
1986,02/07/1986,0,,Ferdinand Emmanuel Edralin Marcos Sr.,Kilusang Bagong Lipunan,09/11/1917,68,1,Sarrat,18.0979,120.6213,Ilocos Norte,Region I,Luzon,Firstborn,2,1,College,University of the Philippines,Law,President,6,1,36.13,1
1992,05/11/1992,1,Narrow votes,Fidel Valdez Ramos,Lakas-CMD,03/18/1928,64,1,Lingayen,16.0213,120.2314,Pangasinan,Region I,Luzon,Firstborn,2,5,Masters,National University,Civil Engineering,Cabinet Member,3,1,19.55,1
2022,05/09/2022,0,,Francisco Moreno Domagoso,Aksyon Demokratiko,10/24/1974,47,1,Manila,14.5995,120.9842,Metro Manila,NCR,Luzon,Only Child,0,3,College,University of the City of Manila,Public Administration,Mayor,5,1,21.86,1
2010,05/10/2010,0,,Gilberto Eduardo Gerardo Cojuangco Teodoro Jr.,Lakas-CMD,06/14/1964,45,1,Isabela City,6.7063,121.9711,Isabela,Region II,Luzon,Only Child,0,3,Masters,De La Salle University,Commerce,Cabinet Member,2,1,11.29,1
